Fault Number,Building Trade,Trade Category,Type of Fault,Impact,Location,Cancel Status,Reported Date,Fault Acknowledged Date,Responded on Site Date,RA Conducted Date,Work Started Date,Work Completed Date,Action(s) Taken,Other Trades Required Date,Cost Cap Exceed Date,Assistance Requested Date,Fault Reference,End User Priority,Incident Report,Remarks
FID4923,Plumbing & Sanitary,Basin / sink,Leaking,Localised to room,RMG > RH > 9 > Ward 969 - 970,,24/12/2021 15:30,24/12/2021 17:06,24/12/2021 17:06,24/12/2021 17:06,24/12/2021 17:07,24/12/2021 17:08,Water leaking gun,,,,,,,Basin leaking-allan-low
FID4922,Building,Wall Skirting,Misaligned / dangling,Localised to room,RMG > RH > 13 > Ward 1358-1363,,24/12/2021 15:13,,,,,,,,,,,,,Curtain dropped-nazri-low
FID4916,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 12 > RHS RM 26,,24/12/2021 11:51,24/12/2021 11:52,24/12/2021 12:03,24/12/2021 12:11,24/12/2021 12:11,24/12/2021 12:12,replaced new bulb,,,,,,,Light flickering-Senthil-low
FID4914,Mechanical,Auto Sliding Glass Door,Misaligned / dangling,More than 1 room,RMG > RH > 1 > A&E,,24/12/2021 11:33,24/12/2021 11:34,24/12/2021 12:13,24/12/2021 12:14,24/12/2021 12:14,24/12/2021 12:15,tighten screw,,,,,,,Auto door cover dropped-Senthil-low
FID4913,Plumbing & Sanitary,Flush Button,Water flowing non-stop,More than 1 room,RMG > RH > 9 > Ward 901,,24/12/2021 11:10,24/12/2021 11:33,24/12/2021 11:33,24/12/2021 11:34,24/12/2021 11:34,24/12/2021 11:35,fix,,,,,,,Toilet flush water non stop-nazri-low
FID4912,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 2 > RM@RH,,24/12/2021 11:05,24/12/2021 11:11,24/12/2021 11:12,24/12/2021 11:12,24/12/2021 11:14,24/12/2021 11:15,bulb replaced,,,,,,,Light fused-v.bala-low
FID4911,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 8 > Delivery Suite 5,,24/12/2021 11:02,,,,,,,,,,,,,Aircon make warm-Isyamudin-low
FID4910,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 1 > A&E Critical Care Counter,,24/12/2021 10:55,24/12/2021 10:56,24/12/2021 11:00,24/12/2021 11:00,24/12/2021 11:01,24/12/2021 11:01,replaced new bulb,,,,,,,Light fused-Senthil-low
FID4907,Plumbing & Sanitary,WC / Squatting Pedestal,Damaged / Loose / Cracked,More than 1 room,RMG > RH > 7 > OT Male Channing Rm,,24/12/2021 10:07,24/12/2021 10:39,24/12/2021 10:39,24/12/2021 10:40,24/12/2021 10:42,24/12/2021 10:42,Replace new set,,,,,,,Toilet seat cover faulty-Nazri-low
FID4906,Building,Door Bell,Unserviceable,More than 1 room,RMG > RH > 7 > CSSD,,24/12/2021 9:53,24/12/2021 10:00,24/12/2021 10:01,24/12/2021 10:04,24/12/2021 10:05,24/12/2021 10:06,replaced battery,,,,,,,Door bell not working-v.bala-low
FID4904,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 10 > Doctor's Lounge,,24/12/2021 9:27,24/12/2021 9:43,24/12/2021 9:43,24/12/2021 9:44,24/12/2021 9:45,24/12/2021 9:45,done,,,,,,,light fused
FID4894,Mechanical,BMS / BAS,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 12,,24/12/2021 0:57,24/12/2021 0:58,24/12/2021 0:58,24/12/2021 0:59,24/12/2021 1:00,24/12/2021 1:01,adjusted the setpoint from bms from 28 to 22,,,,,,,satha low
FID4893,Mechanical,BMS / BAS,Too hot / Too cold,Affecting Public,RMG > RH > 8 > Delivery Suite 3,,24/12/2021 0:55,24/12/2021 1:01,24/12/2021 1:02,24/12/2021 1:03,24/12/2021 1:05,24/12/2021 1:07,adjusted the temperature from 16 to 22,,,,,,,satha low
FID4889,Medical Equipment,Fridges & Freezers,Other: Fridge not cold,Affecting Public,RMG > RH > 2 > Skin & Aesthetics Treatment Rm 7,,23/12/2021 17:01,,,,,,,,,,,,,Fridge not cold-Isyamudin-low
FID4887,Office and Furniture,Wall Clock,Cannot operate / defective,Affecting Public,RMG > RH > 9 > Ward 969 - 970,,23/12/2021 17:00,23/12/2021 17:06,23/12/2021 17:06,23/12/2021 17:07,23/12/2021 17:11,23/12/2021 17:13,Replaced new battery,,,,,,,Wall clock not working-mani-low
FID4886,Mechanical,AHU / FCU / CU,Too hot / Too cold,Affecting Public,RMG > RH > 13 > Ward 13,,23/12/2021 16:45,23/12/2021 16:46,23/12/2021 16:46,23/12/2021 16:47,23/12/2021 16:47,23/12/2021 16:49,Adjusted AHU 13-1 temperature setpoint from 20c to 16c in bms system make it cool. Cooling valve automatically increase from 0% to 17%,,,,,,,Aircon make it cool-Su-low
FID4885,Medical Equipment,Medical Gas,Change Cylinders,Affecting Public,RMG > RH > 2 > Dental Clinic,,23/12/2021 16:44,23/12/2021 17:20,23/12/2021 17:23,23/12/2021 17:24,23/12/2021 17:24,23/12/2021 17:26,"Checked onsite, the nitrous oxide cylinder is different from what we have. Need to order. Under follow-up",,,,,,,Need 2x nitrous oxide cylinder-V.Bala-medium
FID4880,Mechanical,AHU / FCU / CU,Too hot / Too cold,Affecting Public,RMG > RH > 13 > Ward 1328-1336,,23/12/2021 16:07,23/12/2021 16:07,23/12/2021 16:08,23/12/2021 16:08,23/12/2021 16:08,23/12/2021 16:18,Adjusted VAV 1-2-9 setpoint from 24c to 21c and VAV 1-2-10 setpoint from 24c to 20c in bms system make it cool.,,,,,,,Aircon make it cool-Su-low
FID4877,Building,Filter,Choked,Affecting Public,RMG > RH > 7 > Operating Theatre 1 (Endoscopy),,23/12/2021 14:56,23/12/2021 18:54,23/12/2021 18:54,23/12/2021 18:54,23/12/2021 18:55,23/12/2021 18:55,Filter have Changed,,,,,,,Need to replace new filter-Allan-low
FID4873,Office and Furniture,Cabinet,Misaligned / dangling,Affecting Public,RMG > RSC > 16 > Eye Centre Consult Rm 7,,23/12/2021 14:06,,,,,,,,,,,,,Cabinet door hinge loose -nazri-low
FID4872,Electrical,Light Bulb,Other: Light cannot turn off,Localised to room,RMG > RH > 9 > Ward 978 - 979,,23/12/2021 14:04,23/12/2021 14:15,23/12/2021 14:22,23/12/2021 14:26,23/12/2021 14:27,23/12/2021 14:28,off the light,,,,,,,Bed head light cannot turn off-a.bala-low
FID4870,Medical Equipment,Medical Gas,Alarm,Affecting Public,RMG > RH > 7 > Operating Theatre 6,,23/12/2021 13:26,,,,,,,,,,,,,AGSS pump not running-shanmu-high
FID4867,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 10 > Doctor's Lounge,,23/12/2021 12:37,23/12/2021 14:10,23/12/2021 14:11,23/12/2021 14:11,23/12/2021 14:12,23/12/2021 14:14,replaced new light bulb,,,,,,,Need to change bulb-A.Bala-low
FID4866,Plumbing & Sanitary,Basin / sink,Choked,Affecting Public,RMG > RH > 7 > Handicap Toilet 1,,23/12/2021 12:22,,,,,,,,,,,,,Basin choke-nazri-low
FID4865,Office and Furniture,TV,Cannot operate / defective,Localised to room,RMG > RH > 9 > Ward 920,,23/12/2021 12:20,23/12/2021 12:26,23/12/2021 12:26,23/12/2021 12:27,23/12/2021 12:28,23/12/2021 12:31,Tv power wire loose and normal back,,,,,,,TV not working-mani-low
FID4864,Electrical,Light Bulb,Flickering / Blown,Affecting Public,RMG > RH > 9 > Ward 950,,23/12/2021 12:01,23/12/2021 12:08,23/12/2021 12:10,23/12/2021 12:12,23/12/2021 12:13,23/12/2021 12:15,replaced new light bulb,,,,,,,Light flickering-a.bala-low
FID4861,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 7 > OT,,23/12/2021 10:39,23/12/2021 11:46,23/12/2021 11:46,23/12/2021 11:47,23/12/2021 11:49,23/12/2021 11:50,replaced co2 cylinder big 1,,,,,,,Need 1 big CO2 cylinder-V.Bala-medium
FID4860,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 2 > Dental Surgery 10,,23/12/2021 10:38,,,,,,,,,,,,,Need to replace 2 big oxygen cylinder-nazri-medium
FID4856,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 7 > ESWL,,23/12/2021 9:57,23/12/2021 12:49,23/12/2021 12:49,23/12/2021 12:50,23/12/2021 12:50,23/12/2021 12:50,Work done,,,,,,,Need 1 big oxygen cylinder-Allan-medium
FID4852,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 12 > Women Centre,,23/12/2021 9:43,23/12/2021 9:47,23/12/2021 9:49,23/12/2021 9:50,23/12/2021 9:51,23/12/2021 9:52,replaced new light bulb,,,,,,,Light flickering -a.bala-low
FID4851,Office and Furniture,Patient Bed,Cannot operate / defective,Localised to room,RMG > RSC > 13 > Surgical Ctr,,23/12/2021 9:41,23/12/2021 9:42,23/12/2021 9:44,23/12/2021 9:45,23/12/2021 9:49,23/12/2021 9:51,wire connection come out fixed back normal,,,,,,,Bed cannot adjust-v.bala-low
FID4850,Mechanical,AHU / FCU / CU,Noisy,Affecting Public,RMG > RSC > 13 > Visitor Lift Lobby,,23/12/2021 9:40,,,,,,,,,,,,,Noise coming from the FCU-aru-low
FID4849,Office and Furniture,Cabinet,Cannot open / close,Localised to room,RMG > RSC > 12 > Orthopaedic Ctr,,23/12/2021 9:37,23/12/2021 9:38,23/12/2021 9:39,23/12/2021 9:52,23/12/2021 9:53,23/12/2021 9:56,staff locker cannot open informed security use master key open,,,,,,,Staff locker cannot open-V.Bala-low
FID4848,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 2 > RM@RH Counter,,23/12/2021 9:34,23/12/2021 9:39,23/12/2021 9:40,23/12/2021 9:42,23/12/2021 9:43,23/12/2021 9:44,replaced new light bulb,,,,,,,No light-a.bala-low
FID4839,Medical Equipment,Medical Gas,Alarm,More than 1 room,RMG > RH > 7M > Level 7M,,23/12/2021 8:36,23/12/2021 8:38,23/12/2021 8:39,23/12/2021 8:40,23/12/2021 8:43,23/12/2021 8:44,pumb trip then rest back to normal,,,,,,,AGSS pump not running-ilayaraja-high
FID4838,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 9 > Ward 920,,23/12/2021 3:14,23/12/2021 3:16,23/12/2021 3:16,23/12/2021 3:16,23/12/2021 3:17,23/12/2021 3:18,close diffuser for two rooms also,,,,,,,"920,917 aircon make warm -satha-low"
FID4837,Mechanical,BMS / BAS,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn D,,23/12/2021 1:30,23/12/2021 1:43,23/12/2021 1:44,23/12/2021 1:45,23/12/2021 1:46,23/12/2021 1:47,adjusted setpoint temperature from bms,,,,,,,Aircon make warm-satha-low
FID4831,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 11,,22/12/2021 17:25,22/12/2021 17:28,22/12/2021 17:28,22/12/2021 17:29,22/12/2021 17:29,22/12/2021 17:30,Adjusted the temperature setpoint from 28c to 20c and damper position from 100% auto to 0% manual in bms system make it cool,,,,,,,Aircon make it cool-su-low
FID4830,Office and Furniture,Safe Box,Cannot open / close,Localised to room,RMG > RH > 9 > Ward 980 - 986,,22/12/2021 16:48,22/12/2021 22:05,22/12/2021 22:06,22/12/2021 22:06,22/12/2021 22:06,22/12/2021 22:07,Work done,,,,,,,Need to open patient locker -Allan-low
FID4827,Mechanical,Lift & Escalators (Schindler),"Other: Lift door keep open and closeLift door keep open and close, for all levels",Whole Building,RMG > RH > All > Patient Lift 11,,22/12/2021 15:46,23/12/2021 9:15,23/12/2021 9:16,23/12/2021 9:16,23/12/2021 9:16,23/12/2021 9:17,schindler contractor check and lift normal back,,,,,,,"Lift door keep open and close, for all levels -mani-low"
FID4825,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Ward 1059,,22/12/2021 15:37,22/12/2021 15:42,22/12/2021 15:42,22/12/2021 15:42,22/12/2021 15:43,22/12/2021 15:47,Adjusted vav 1-1-17 temperature setpoint from 20c to 24c in bms system make it warm. damper position automatically reduce from 90% open to 20%.,,,,,,,"Aircon too cold, make it warm-su-low"
FID4824,Building,Door Knob / Handle,Unable to open or close properly,Localised to room,RMG > RSC > 8 > Children Centre Consult Rm 3,,22/12/2021 15:35,22/12/2021 22:08,22/12/2021 22:09,22/12/2021 22:09,22/12/2021 22:09,22/12/2021 22:10,Need to change the lock now don’t have stock,,,,,,,Door handle loose-Allan-low
FID4822,Medical Equipment,Fridges & Freezers,Other: fridge got smell,Localised to room,RMG > RH > 2 > Skin & Aesthetics Treatment Rm 7,,22/12/2021 15:30,22/12/2021 17:16,22/12/2021 17:17,22/12/2021 17:18,22/12/2021 17:19,22/12/2021 17:21,fridge smell clean retun back,,,,,,,Fridge got smell-Aru-low
FID4816,Electrical,Light Bulb,Flickering / Blown,Affecting Public,RMG > RH > 2 > Passenger Lift Lobby,,22/12/2021 14:22,23/12/2021 9:18,23/12/2021 9:19,23/12/2021 9:19,23/12/2021 9:19,23/12/2021 9:21,Replaced new bulb,,,,,,,Light fused-mani-low
FID4815,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 2 > Dental Clinic,,22/12/2021 14:21,23/12/2021 9:45,23/12/2021 9:46,23/12/2021 9:46,23/12/2021 9:46,23/12/2021 9:49,Replaced new bulb,,,,,,,Signage light bulb fused-mani-low
FID4814,Plumbing & Sanitary,Soap Dispenser,Other: Soap dispenser dropped,Localised to room,RMG > RH > 2 > Dental X-Ray,,22/12/2021 14:19,23/12/2021 10:45,23/12/2021 10:45,23/12/2021 10:46,23/12/2021 10:47,23/12/2021 10:48,Fixed back the soap dispenser on the wall,,,,,,,Soap dispenser dropped-Hossain-low
FID4813,Office and Furniture,Cabinet,Other: Screw loose,Localised to room,RMG > RH > 7 > CSSD,,22/12/2021 14:18,22/12/2021 14:53,22/12/2021 14:53,22/12/2021 14:53,22/12/2021 14:54,22/12/2021 14:54,Yes done,,,,,,,Cabinet screw loose -allan-low
FID4811,Building,Door Closer,Unable to open or close properly,Localised to room,RMG > RH > 8 > Delivery Suite 5,,22/12/2021 13:30,22/12/2021 13:40,22/12/2021 13:41,22/12/2021 13:41,22/12/2021 13:41,22/12/2021 13:42,Done already,,,,,,,Door cannot stay open-allan-low
FID4809,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 8 > Ward 817,,22/12/2021 13:28,23/12/2021 10:51,23/12/2021 10:52,23/12/2021 10:52,23/12/2021 10:53,23/12/2021 10:54,Adjusted the aircon temperature in bms system make it warm,,,,,,,Aircon make it warm-isyamudin-low
FID4807,Office and Furniture,Wall Clock,Cannot operate / defective,Localised to room,RMG > RH > 8 > Ward 855,,22/12/2021 13:24,23/12/2021 10:55,23/12/2021 10:55,23/12/2021 10:55,23/12/2021 10:56,23/12/2021 10:56,Replaced new wall clock battery,,,,,,,Wall clock not working-Hossain-low
FID4802,Electrical,Vending Machine,Other: Out of order,Affecting Public,RMG > RSC > 13 > Surgical Ctr,,22/12/2021 10:51,23/12/2021 10:57,23/12/2021 10:58,23/12/2021 10:58,23/12/2021 10:58,23/12/2021 10:59,Reset the machine power but still not working. Indicates failure list nozzle. Informed to Atlas vending vendor to check. Rectified,,,,,,,Coffee vending machine out of order-Hossain-low
FID4801,Electrical,Vending Machine,Unserviceable,Localised to room,RMG > RH > 7 > Corridor,,22/12/2021 10:50,22/12/2021 11:07,22/12/2021 11:07,22/12/2021 11:08,22/12/2021 11:09,22/12/2021 11:14,Remove the cutlery box normal back,,,,,,,Chef-in-a-box vending machine cutlery stuck-mani-low
FID4800,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 7 > OT Clean Corridor,,22/12/2021 10:49,22/12/2021 11:22,22/12/2021 11:22,22/12/2021 11:24,22/12/2021 11:25,22/12/2021 11:37,Replaced new bulb 2 nos,,,,,,,Light flickering -mani-low
FID4799,Office and Furniture,Safe Box,Cannot open / close,Localised to room,RMG > RH > 9 > Ward 980 - 986,,22/12/2021 10:48,22/12/2021 11:18,22/12/2021 11:18,22/12/2021 11:19,22/12/2021 11:19,22/12/2021 11:20,Done I have open,,,,,,,Patient locker need to open -allan-low
FID4797,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 7 > OT,,22/12/2021 10:35,22/12/2021 10:36,22/12/2021 10:36,22/12/2021 10:36,22/12/2021 10:37,22/12/2021 10:38,delivered one Co2 cylinder,,,,,,,Need one CO2 cylinder to be replaced- Shanmu-medium
FID4791,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 1337-1343,,22/12/2021 9:31,22/12/2021 9:32,22/12/2021 9:32,22/12/2021 9:32,22/12/2021 9:33,22/12/2021 10:03,Adjusted ahu setpoint temperature.,,,,,,,Aircon make it cool-su-low
FID4789,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 8 > Ward 818,,22/12/2021 9:07,23/12/2021 11:01,23/12/2021 11:01,23/12/2021 11:01,23/12/2021 11:02,23/12/2021 11:02,Adjusted the temperature setpoint in bms system make it cool,,,,,,,"Aircon very warm, make it cool-isyamudin-low"
FID4778,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 8 > Delivery Suite 6,,22/12/2021 8:44,22/12/2021 8:51,22/12/2021 8:52,22/12/2021 8:53,22/12/2021 8:53,22/12/2021 9:08,replaced new light bulb,,,,,,,Light fused-a.bala-low
FID4777,Building,Door Frame,Misaligned / dangling,More than 1 room,RMG > RH > 9 > Business Centre Office 2,,22/12/2021 8:40,22/12/2021 8:43,22/12/2021 8:43,22/12/2021 8:44,22/12/2021 8:44,22/12/2021 8:45,door closer screw adjusted,,,,,,,Door hinge loose-v.bala-low
FID4776,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 2 > Dental Clinic,,22/12/2021 8:37,23/12/2021 11:04,23/12/2021 11:05,23/12/2021 11:05,23/12/2021 11:06,23/12/2021 11:06,Replaced new light,,,,,,,Light fused -senthil-low
FID4775,Plumbing & Sanitary,Urinal,Choked,More than 1 room,RMG > RSC > 2 > Male Toilet,,22/12/2021 8:28,22/12/2021 22:13,22/12/2021 22:13,22/12/2021 22:14,22/12/2021 22:14,22/12/2021 22:15,Work done,,,,,,,Urinal choke-Allan-low
FID4772,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 8 > Ward 854,,22/12/2021 1:13,22/12/2021 1:14,22/12/2021 1:15,22/12/2021 1:15,22/12/2021 1:15,22/12/2021 1:17,adjusted the  aircon temprature make it cold,,,,,,,Aircon make it cold-a.bala-low
FID4771,Mechanical,AHU / FCU / CU,Misaligned / dangling,More than 1 room,RMG > RH > 10 > Stn D Corridor,,22/12/2021 0:36,22/12/2021 0:38,22/12/2021 0:38,22/12/2021 0:39,22/12/2021 0:39,22/12/2021 0:40,fixed back,,,,,,,Diffuser dropped-v.bala-low
FID4770,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 9 > Corridor,,21/12/2021 22:24,21/12/2021 22:29,21/12/2021 22:29,21/12/2021 22:30,21/12/2021 22:30,21/12/2021 22:32,replaced new light bulb,,,,,,,Light fused -a.bala-low
FID4769,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 7 > OT,,21/12/2021 19:36,23/12/2021 11:07,23/12/2021 11:07,23/12/2021 11:08,23/12/2021 11:08,23/12/2021 11:09,Replaced 1 big CO2 cylinder,,,,,,,Need one big co2 cylinder-nazri-medium
FID4768,Plumbing & Sanitary,Water Heater,Damaged / Loose / Cracked,Localised to room,RMG > RH > 7 > OT Tea Rm,,21/12/2021 19:33,21/12/2021 19:37,21/12/2021 19:45,21/12/2021 19:45,21/12/2021 19:46,21/12/2021 19:47,replace new tap no more leaking,,,,,,,Water dispenser hot water leaking-satha-low
FID4765,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RSC > 12 > Rehab Con Rm 3,,21/12/2021 16:52,23/12/2021 11:10,23/12/2021 11:10,23/12/2021 11:11,23/12/2021 11:11,23/12/2021 11:12,Adjusted VAV 12-1-5 temperature setpoint from 24c to 21c and damper position set to 65% manually in bms system make it cool,,,,,,,Aircon make it cool-ilayaraja-low
FID4763,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 8 > Ward 818,,21/12/2021 16:48,21/12/2021 16:54,21/12/2021 16:55,21/12/2021 17:02,21/12/2021 17:05,21/12/2021 17:06,adjusted the thermostat not working . close diffuser for 70 percent .,,,,,,,Aircon make it cool-aru-low
FID4762,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 7 > OT,,21/12/2021 16:47,21/12/2021 17:02,21/12/2021 17:02,21/12/2021 17:04,21/12/2021 17:13,21/12/2021 17:15,replaced the new cylinder,,,,,,,Need to replace 1 big CO2 cylinder-ilayaraja-medium
