Fault 2021-12-22 19:37:09,,,,,,,,,,,,,,,,,,,,,
,Fault Number,Building Trade,Trade Category,Type of Fault,Impact,Location,Cancel Status,Reported Date,Fault Acknowledged Date,Responded on Site Date,RA Conducted Date,Work Started Date,Work Completed Date,Action(s) Taken,Other Trades Required Date,Cost Cap Exceed Date,Assistance Requested Date,Fault Reference,End User Priority,Incident Report,Remarks
,FID4791,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 1337-1343,,2021-12-22 09:31:35,2021-12-22 09:32:04,2021-12-22 09:32:28,2021-12-22 09:32:54,2021-12-22 09:33:35,2021-12-22 10:03:42,Adjusted ahu setpoint temperature.,,,,,,,Aircon make it cool-su-low
,FID4789,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 8 > Ward 818,,2021-12-22 09:07:51,,,,,,,,,,,,,"Aircon very warm, make it cool-isyamudin-low"
,FID4778,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 8 > Delivery Suite 6,,2021-12-22 08:44:54,2021-12-22 08:51:40,2021-12-22 08:52:24,2021-12-22 08:53:01,2021-12-22 08:53:48,2021-12-22 09:08:45,replaced new light bulb,,,,,,,Light fused-a.bala-low
,FID4777,Building,Door Frame,Misaligned / dangling,More than 1 room,RMG > RH > 9 > Business Centre Office 2,,2021-12-22 08:40:56,2021-12-22 08:43:13,2021-12-22 08:43:38,2021-12-22 08:44:06,2021-12-22 08:44:57,2021-12-22 08:45:52,door closer screw adjusted,,,,,,,Door hinge loose-v.bala-low
,FID4776,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 2 > Dental Clinic,,2021-12-22 08:37:51,,,,,,,,,,,,,Light fused -senthil-low
,FID4775,Plumbing & Sanitary,Urinal,Choked,More than 1 room,RMG > RSC > 2 > Male Toilet,,2021-12-22 08:28:39,,,,,,,,,,,,,Urinal choke-Allan-low
,FID4772,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 8 > Ward 854,,2021-12-22 01:13:52,2021-12-22 01:14:31,2021-12-22 01:15:09,2021-12-22 01:15:31,2021-12-22 01:15:46,2021-12-22 01:17:47,adjusted the  aircon temprature make it cold,,,,,,,Aircon make it cold-a.bala-low
,FID4771,Mechanical,AHU / FCU / CU,Misaligned / dangling,More than 1 room,RMG > RH > 10 > Stn D Corridor,,2021-12-22 00:36:43,2021-12-22 00:38:27,2021-12-22 00:38:58,2021-12-22 00:39:20,2021-12-22 00:39:52,2021-12-22 00:40:28,fixed back,,,,,,,Diffuser dropped-v.bala-low
,FID4770,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 9 > Corridor,,2021-12-21 22:24:35,2021-12-21 22:29:03,2021-12-21 22:29:56,2021-12-21 22:30:25,2021-12-21 22:30:49,2021-12-21 22:32:02,replaced new light bulb,,,,,,,Light fused -a.bala-low
,FID4769,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 7 > OT,,2021-12-21 19:36:28,,,,,,,,,,,,,Need one big co2 cylinder-nazri-medium
,FID4768,Plumbing & Sanitary,Water Heater,Damaged / Loose / Cracked,Localised to room,RMG > RH > 7 > OT Tea Rm,,2021-12-21 19:33:50,2021-12-21 19:37:41,2021-12-21 19:45:06,2021-12-21 19:45:51,2021-12-21 19:46:47,2021-12-21 19:47:45,replace new tap no more leaking,,,,,,,Water dispenser hot water leaking-satha-low
,FID4765,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RSC > 12 > Rehab Con Rm 3,,2021-12-21 16:52:05,,,,,,,,,,,,,Aircon make it cool-ilayaraja-low
,FID4763,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 8 > Ward 818,,2021-12-21 16:48:55,2021-12-21 16:54:32,2021-12-21 16:55:10,2021-12-21 17:02:23,2021-12-21 17:05:28,2021-12-21 17:06:59,adjusted the thermostat not working . close diffuser for 70 percent .,,,,,,,Aircon make it cool-aru-low
,FID4762,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 7 > OT,,2021-12-21 16:47:57,2021-12-21 17:02:23,2021-12-21 17:02:53,2021-12-21 17:04:43,2021-12-21 17:13:59,2021-12-21 17:15:22,replaced the new cylinder,,,,,,,Need to replace 1 big CO2 cylinder-ilayaraja-medium
,FID4761,Medical Equipment,Fridges & Freezers,Other: Fridge not cold,Localised to room,RMG > RH > 8 > Nursing Stn B,,2021-12-21 16:43:23,2021-12-21 16:56:07,2021-12-21 16:56:33,2021-12-21 16:56:58,2021-12-21 16:57:55,2021-12-21 16:59:19,replace battery,,,,,,,Medication fridge showing low and not cold-satha-low
,FID4760,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RSC > 12 > Rehab Con Rm 2,,2021-12-21 16:38:14,2021-12-21 16:45:16,2021-12-21 16:45:46,2021-12-21 16:46:10,2021-12-21 16:46:32,2021-12-21 17:28:40,Adjusted vav 12-1-6 temperature setpoint from 21c to 19c and damper position from auto (38%) to 60% manual in bms system make it cool,,,,,,,Aircon make it cool-su-low
,FID4759,Building,Door Stopper,Other: Door unable to stay open,Localised to room,RMG > RSC > 12 > Rehab Con Rm 2,,2021-12-21 16:36:52,,,,,,,,,,,,,Door unable to stay open -ming cai-low
,FID4758,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 1 > A&E,,2021-12-21 16:35:48,,,,,,,,,,,,,Aircon make it cool-isyamudin-low
,FID4757,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 6,,2021-12-21 16:05:55,2021-12-21 16:06:21,2021-12-21 16:06:39,2021-12-21 16:06:57,2021-12-21 16:07:16,2021-12-21 16:09:55,Adjusted the temperature setpoint from 16c to 14c and heater to 0% manual in bms system make it cooler,,,,,,,Aircon make it cool-su-low
,FID4755,Electrical,Light Bulb,Other: Different colour,Affecting Public,RMG > RH > All > Passenger Lift 6,,2021-12-21 15:49:27,,,,,,,,,,,,,"Need to replace the light in VL6, different colour -senthil-low"
,FID4754,Plumbing & Sanitary,Bidet spray / Hose,Leaking,Affecting Public,RMG > RH > 9 > Ward 960 - 961,,2021-12-21 15:42:56,2021-12-21 16:04:29,2021-12-21 16:05:37,2021-12-21 16:06:14,2021-12-21 16:14:46,2021-12-21 16:20:22,replaced the new hose & spray,,,,,,,Bidet spray faulty-ilayaraja-low
,FID4753,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 1 > A&E,,2021-12-21 15:41:57,2021-12-21 15:43:28,2021-12-21 15:43:48,2021-12-21 15:44:07,2021-12-21 15:44:27,2021-12-21 15:50:19,Adjusted FCU 1-10-1 cooling valve from 40% to 50% in bms system make it cool. Temperature setpoint is 23c,,,,,,,Aircon make it cool-su-low
,FID4752,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 9 > Corridor,,2021-12-21 15:10:21,2021-12-21 15:31:38,2021-12-21 15:31:58,2021-12-21 15:32:22,2021-12-21 15:32:43,2021-12-21 15:33:16,Bulb change done,,,,,,,Light fused-allan-low
,FID4750,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 11,,2021-12-21 14:45:14,2021-12-21 14:49:10,2021-12-21 14:49:30,2021-12-21 14:49:51,2021-12-21 15:04:05,2021-12-21 15:11:29,Adjusted the temperature setpoint from 28c to 20c and heater from auto (100%) to 0% manual in bms system make it cool,,,,,,,Aircon make it cool-su-low
,FID4749,Medical Equipment,Fridges & Freezers,Other: Fridge not cold,Localised to room,RMG > RH > 8 > Nursing Stn B,,2021-12-21 14:43:13,2021-12-21 14:43:57,2021-12-21 14:44:28,2021-12-21 14:44:52,2021-12-21 14:46:00,2021-12-21 14:52:00,clear the ice reduce the setpoint checked compressor running normal,,,,,,,Medication fridge showing low and not cold-satha-low
,FID4744,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 9 > Nursing Stn B,,2021-12-21 13:55:38,,,,,,,,,,,,,Aircon make it cool-isyamudin-low
,FID4743,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 1 > Nuclear Med Office,,2021-12-21 13:54:47,2021-12-21 13:56:33,2021-12-21 13:56:53,2021-12-21 13:57:13,2021-12-21 13:57:33,2021-12-21 13:59:43,Adjusted AHU 1-5 temperature setpoint from 22.5c to 22c in bms system make it cool. Cooling valve increased from 63% to 73%.,,,,,,,Aircon make it cool-su-low
,FID4739,Office and Furniture,Wall Clock,Cannot operate / defective,Localised to room,RMG > RH > 13 > Ward 1337-1343 Nurse Station,,2021-12-21 13:08:04,2021-12-21 13:26:37,2021-12-21 13:26:57,2021-12-21 13:27:18,2021-12-21 13:27:40,2021-12-21 13:28:16,Change battery,,,,,,,Need to replace wall clock battery-allan-low
,FID4738,Office and Furniture,Wall Clock,Cannot operate / defective,Localised to room,RMG > RH > 13 > Ward 1328-1336 Nurse Station,,2021-12-21 13:06:59,2021-12-21 13:29:13,2021-12-21 13:29:40,2021-12-21 13:30:04,2021-12-21 13:30:29,2021-12-21 13:31:17,Change battery done,,,,,,,Need to replace wall clock battery-allan-low
,FID4736,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 2 > RIPC Waiting Area,,2021-12-21 12:23:52,,,,,,,,,,,,,Need to change the ceiling light-Nazri-low
,FID4732,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 1 > Level 1,,2021-12-21 11:32:47,2021-12-21 11:39:21,2021-12-21 11:42:35,2021-12-21 11:43:17,2021-12-21 11:43:39,2021-12-21 11:45:24,Delivered 5 nos O2 cylinders to facilities,,,,,,,Need to send 5 takeo oxygen cylinders for CC-shanmu-low
,FID4731,Office and Furniture,Wall Clock,Cannot operate / defective,Localised to room,RMG > RH > 8 > Ward 812,,2021-12-21 11:25:27,,,,,,,,,,,,,Need to replace new wall clock battery-nazri-low
,FID4727,Plumbing & Sanitary,Urinal,Choked,Affecting Public,RMG > RSC > 2 > Male Toilet,,2021-12-21 09:55:28,2021-12-21 11:28:30,2021-12-21 11:29:02,2021-12-21 11:30:01,2021-12-21 11:30:56,2021-12-21 11:32:01,cleared the chock,,,,,,,Urinal choke-ilayaraja-low
,FID4717,Office and Furniture,Patient Bed,Cannot operate / defective,Localised to room,RMG > RH > 9 > Ward 973 - 975,,2021-12-21 09:27:12,2021-12-21 11:36:28,2021-12-21 11:37:03,2021-12-21 11:37:39,2021-12-21 11:39:24,2021-12-21 11:40:55,reset the power then back to normal,,,,,,,Bed not working-ilayaraja-low
,FID4708,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 8,,2021-12-21 08:57:28,2021-12-21 09:16:59,2021-12-21 09:17:35,2021-12-21 09:18:07,2021-12-21 09:20:56,2021-12-21 09:26:58,adjusted temperature in 23 degree,,,,,,,"Aircon too cold, make it warm-V.bala-low"
,FID4707,Office and Furniture,Wall Clock,Cannot operate / defective,Localised to room,RMG > RH > 13 > Ward 1328-1336 Nurse Station,,2021-12-21 08:26:49,2021-12-21 10:06:45,2021-12-21 10:07:18,2021-12-21 10:08:08,2021-12-21 10:08:47,2021-12-21 10:09:42,battery chain,,,,,,,Need to replace wall clock battery-alan-low
,FID4706,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn C,,2021-12-21 08:06:54,2021-12-21 08:15:18,2021-12-21 08:15:47,2021-12-21 08:16:18,2021-12-21 08:18:20,2021-12-21 08:22:10,adjusted vav control in bms setpoint 24to22 make it cool,,,,,,,Aircon too warm-v.bala-low
,FID4705,Office and Furniture,Telephone,Cannot operate / defective,Localised to room,RMG > RH > 9 > Ward 919,,2021-12-21 08:02:43,,,,,,,,,,,,,Telephone not working-v.bala-low
,FID4704,Electrical,Light Bulb,Tripped / Short-Circuit / Overloaded,Localised to room,RMG > RH > 7 > Day Surgery Corridor,,2021-12-21 07:58:58,2021-12-21 08:53:26,2021-12-21 08:55:01,2021-12-21 09:21:08,2021-12-21 09:21:49,2021-12-21 09:23:02,replaced new light bulb,,,,,,,Lights trip-abala-high
,FID4703,Electrical,Call System,Unserviceable,Localised to room,RMG > RH > 9 > Ward 978 - 979,,2021-12-21 07:51:33,2021-12-21 08:46:48,2021-12-21 08:47:24,2021-12-21 08:47:52,2021-12-21 08:48:28,2021-12-21 08:49:22,replaced new light bulb,,,,,,,Call bell keep ringing-abala-low
,FID4702,Building,Filter,Dirty / Odour,Localised to room,RMG > RH > 7 > CSSD,,2021-12-21 07:37:12,2021-12-21 07:38:04,2021-12-21 07:38:27,2021-12-21 07:38:48,2021-12-21 07:39:35,2021-12-21 07:40:10,replaced new filter,,,,,,,Need to change new filter-v.bala-low
,FID4701,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn D,,2021-12-21 00:42:36,2021-12-21 00:43:49,2021-12-21 00:44:20,2021-12-21 00:44:44,2021-12-21 00:46:56,2021-12-21 00:47:40,adjusted vav control in bms setpoint 20to24 make it warm,,,,,,,"Aircon too cold, make it warm-v.bala-low"
,FID4699,Mechanical,BMS / BAS,Too hot / Too cold,Affecting Public,RMG > RH > 7 > Operating Theatre 11,,2021-12-20 18:51:10,2021-12-20 18:52:34,2021-12-20 18:52:57,2021-12-20 18:53:26,2021-12-20 18:53:52,2021-12-20 18:55:49,temprature setpoint at 26 degree heater manully 0 %  change to auto 100 %,,,,,,,"Aircon make it warm to 24, aircon too cool-satha-low"
,FID4698,Mechanical,AHU / FCU / CU,Leaking / Condensation,Affecting Public,RMG > RSC > 1 > Visitor Lift Lobby,,2021-12-20 18:42:36,2021-12-20 18:43:05,2021-12-20 18:43:27,2021-12-20 18:43:51,2021-12-20 18:45:24,2021-12-20 18:46:13,vaccume drain pipe and clear the choke,,,,,,,Water leaking from the ceiling aircon-satha-low
,FID4695,Plumbing & Sanitary,Basin / sink,Choked,Localised to room,RMG > RH > 12 > Raffles Health Screeners,,2021-12-20 17:57:02,2021-12-20 18:14:55,2021-12-20 18:15:23,2021-12-20 18:15:44,2021-12-20 18:16:10,2021-12-20 18:16:36,clear,,,,,,,Basin choke-ming cai-low
,FID4694,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn D,,2021-12-20 17:48:00,2021-12-20 17:48:44,2021-12-20 17:49:11,2021-12-20 17:49:39,2021-12-20 17:50:23,2021-12-20 17:57:32,adjusted setpoint to 22 degree in bms,,,,,,,Aircon make it cool-satha-low
,FID4692,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 11 > MRO,,2021-12-20 16:58:31,2021-12-21 13:33:45,2021-12-21 13:34:07,2021-12-21 13:34:29,2021-12-21 13:35:05,2021-12-21 13:35:44,Bulb change done,,,,,,,Need to change the ceiling light-Allan-low
,FID4689,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 8 > Delivery Suite 3,,2021-12-20 15:58:56,2021-12-20 16:01:50,2021-12-20 16:02:53,2021-12-20 16:05:25,2021-12-20 16:05:44,2021-12-20 16:06:21,Adjust setpoint temperature.,,,,,,,Aircon need to make cool-Isyamudin-low
,FID4688,Mechanical,Mechanical Ventilation,Cannot Open or Close,More than 1 room,RMG > RH > 9 > Ward 973 - 975,,2021-12-20 15:28:17,,,,,,,,,,,,,Bed cannot adjust up and down -ming cai-low
,FID4686,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 7 > Histo Data Rm,,2021-12-20 15:04:05,2021-12-21 13:36:44,2021-12-21 13:37:05,2021-12-21 13:37:28,2021-12-21 13:37:56,2021-12-21 13:38:26,Bulb change done,,,,,,,Need to replace the ceiling light-Allan-low
,FID4685,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 10 > Ward 1065,,2021-12-20 14:58:51,2021-12-20 15:06:51,2021-12-20 15:07:28,2021-12-20 15:10:44,2021-12-20 15:13:23,2021-12-20 15:15:43,adjested the setpoint & airflow from bms,,,,,,,"Aircon very cool, make it warm - ilayaraja-low"
,FID4680,Plumbing & Sanitary,Basin / sink,Choked,Localised to room,RMG > RH > 7 > Day Surgery Rm 13,,2021-12-20 12:49:38,2021-12-20 14:29:33,2021-12-20 14:29:52,2021-12-20 14:30:12,2021-12-20 14:30:53,2021-12-20 14:32:12,clear the chock,,,,,,,Basin choke -ming cai-low
,FID4677,Office and Furniture,Cabinet,Cannot open / close,Affecting Public,RMG > RH > 2 > Dental Surgery 3,,2021-12-20 11:45:39,2021-12-20 16:57:27,2021-12-20 16:57:51,2021-12-20 16:58:10,2021-12-20 16:58:39,2021-12-20 16:59:15,open the door,,,,,,,Drawer stuck-ming cai-low
,FID4675,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 1 > Nuclear Medicine Centre,,2021-12-20 11:44:28,2021-12-20 11:57:21,2021-12-20 11:58:16,2021-12-20 12:03:03,2021-12-20 12:04:43,2021-12-20 12:06:23,replaced the new oxigen cylinder,,,,,,,Need to change 1 small oxygen cylinder for e-trolley-ilayaraja-medium
,FID4671,Plumbing & Sanitary,Soap Dispenser,Other: Relocation,Localised to room,RMG > RH > 1 > Unit #01-11 Retail Phamacy,,2021-12-20 11:01:00,2021-12-20 11:12:31,2021-12-20 11:12:52,2021-12-20 11:13:16,2021-12-20 11:28:45,2021-12-20 11:30:28,Move to the opposite side,,,,,,,Need to relocate hand towel dispenser -ming cai-low
,FID4670,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Ward 1052,,2021-12-20 10:53:58,2021-12-20 11:43:13,2021-12-20 11:43:42,2021-12-20 11:44:46,2021-12-20 11:45:37,2021-12-20 11:47:24,adjusted the setpoint temperature to 24 degrees and position at 20 % opening .checked on site,,,,,,,Aircon make it warm -satha-low
,FID4668,Mechanical,Fire Extinguisher,Misaligned / dangling,Localised to room,RMG > RH > 11 > Bed Lift Lobby,,2021-12-20 10:20:48,2021-12-20 11:49:47,2021-12-20 11:50:27,2021-12-20 11:50:34,2021-12-20 11:50:40,2021-12-20 11:53:32,fixed back,,,,,,,Fire extinguisher dropped-Shanmu-low
,FID4667,Mechanical,Auto Sliding Glass Door,Misaligned / dangling,Localised to room,RMG > RSC > 11 > Fireman Lift Lobby,,2021-12-20 10:18:44,2021-12-20 10:25:04,2021-12-20 10:50:32,2021-12-20 10:52:58,2021-12-20 12:53:23,,,,,,,,,"Need to check alignment of the EM door, EM lock not touching-ilayaraja-low"
,FID4666,Plumbing & Sanitary,WC / Squatting Pedestal,Choked,Localised to room,RMG > RH > 12 > RHS Male Toilet,,2021-12-20 10:14:42,2021-12-20 10:25:52,2021-12-20 10:47:22,2021-12-20 10:47:52,2021-12-20 10:48:17,2021-12-20 10:48:46,Cleared the choke,,,,,,,Toilet bowl choke-Allan-low
,FID4665,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 11 > MRO,,2021-12-20 10:12:33,,,,,,,,,,,,,Light fused-Senthil-low
,FID4664,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 11 > Room 1115 (CTU),,2021-12-20 10:11:37,,,,,,,,,,,,,Light fused-Senthil-low
,FID4660,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RSC > 9 > Internal Med,,2021-12-20 09:22:34,2021-12-20 11:50:27,2021-12-20 11:50:49,2021-12-20 11:51:28,2021-12-20 11:51:58,2021-12-20 11:54:51,ddc failed restart back normal,,,,,,,Aircon very warm -satha-low
,FID4652,Mechanical,Lift & Escalators,System Shows fault / Error code,Localised to room,RMG > RSC > B1 > B1,,2021-12-20 08:46:35,2021-12-20 08:52:38,2021-12-20 08:53:24,2021-12-20 08:53:49,2021-12-20 08:54:28,2021-12-20 08:57:52,Reset normal back,,,,,,,"Escalator 05 not running, error code '4' -mani-low"
,FID4651,Medical Equipment,Mortuary Fridge & Freezers,Alarm,Localised to room,RMG > RSC > 11 > Radiology,,2021-12-20 08:42:02,2021-12-20 10:44:37,2021-12-20 10:45:01,2021-12-20 10:45:26,2021-12-20 10:46:05,2021-12-20 10:46:36,Replaced new battery for testo data logger,,,,,,,Testo data logger not working -aru-low
,FID4649,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn D,,2021-12-20 08:33:07,2021-12-20 10:41:28,2021-12-20 10:41:54,2021-12-20 10:42:18,2021-12-20 10:43:02,2021-12-20 10:43:38,Adjusted the aircon temperature in bms system make it cool,,,,,,,Aircon make it cool -aru-low
,FID4648,Office and Furniture,TV,Cannot open / close,Localised to room,RMG > RH > 7 > Call Centre,,2021-12-20 08:12:39,2021-12-20 08:12:59,2021-12-20 08:13:19,2021-12-20 08:13:44,2021-12-20 08:14:05,2021-12-20 08:17:09,Replaced new battery,,,,,,,TV remote not working -mani -low
,FID4647,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 1 > A&E,,2021-12-20 08:07:31,2021-12-20 10:38:26,2021-12-20 10:38:51,2021-12-20 10:39:14,2021-12-20 10:40:17,2021-12-20 10:40:55,Replaced new oxygen cylinder,,,,,,,Need to replace 2 big oxygen cylinder -aru-medium
,FID4645,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 1 > A&E Waiting Area,,2021-12-20 07:38:27,2021-12-20 07:38:49,2021-12-20 07:39:32,2021-12-20 07:39:57,2021-12-20 07:40:26,2021-12-20 07:44:23,Replaced new bulb,,,,,,,Need to change bulb -mani-low
,FID4644,Electrical,Call System,Unserviceable,Localised to room,RMG > RH > 1 > A&E Bed 1 & 2,,2021-12-20 07:30:18,2021-12-20 07:30:51,2021-12-20 07:31:22,2021-12-20 07:31:58,2021-12-20 07:32:17,2021-12-20 07:35:24,call bell Reset normal back,,,,,,,Call bell not ringing-mani-low
,FID4639,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 10 > Ward 1065,,2021-12-19 18:29:02,2021-12-19 18:30:10,2021-12-19 18:30:54,2021-12-19 18:32:05,2021-12-19 18:34:08,2021-12-19 18:36:09,Bms adjuted the aircon temprature make it warm,,,,,,,Aircon make it warm-a.bala-low
